"","(Intercept)","Daily_events","Prioritising_workload","Writing_notes","Workaholism","Thinking_ahead","Final_judgement","Reliability","Keeping_promises","Loss_of_interest","Friends_versus_money","Funniness","Fake","Criminal_damage","Decision_making","Elections","Self_criticism","Judgment_calls","Hypochondria","Empathy","Eating_to_survive","Giving","Compassion_to_animals","Borrowed_stuff","Loneliness","Cheating_in_school","Health","Changing_the_past","God","Dreams","Charity","Number_of_friends","Waiting","New_environment","Mood_swings","Appearence_and_gestures","Socializing","Achievements","Responding_to_a_serious_letter","Children","Assertiveness","Getting_angry","Knowing_the_right_people","Public_speaking","Unpopularity","Life_struggles","Happiness_in_life","Energy_levels","Small_big_dogs","Personality","Finding_lost_valuables","Getting_up","Interests_or_hobbies","Parents_advice","Questionnaires_or_polls"
"currently a primary school pupil",-9.31120721564888,0.747734024733475,1.03247917093995,-0.0748163135715621,-0.665600574551788,0.0510405100276706,-0.361981379115005,-0.482611189079364,0.413388017014522,0.832476700860963,-0.0816033844538934,-0.684910588395714,-1.00165606336294,-0.0162444756642944,-0.227582704682109,-0.80905911943053,-0.209219396275145,0.813462885557985,0.387267800340828,-0.921197460386377,-0.106277511438911,0.57678562225262,-0.0556102317457415,0.268733992620067,1.07842224050455,0.65548271156905,0.526736103588185,-0.292020331882686,0.448212167735131,-0.666113653533511,0.321981251908296,-0.587885639936575,-0.1279395415729,0.0359331685097233,0.747379123967576,-1.16914481093098,0.298520447316386,-0.458229183406519,0.532800079294567,-0.15815804869646,-0.772320833535822,0.2275017711857,-0.763933028296648,0.78529986848681,-0.0303006594624807,-0.43867725598274,-0.744343328534511,1.64987318935447,0.00840994004723118,0.522119824317111,-0.272266855571279,0.589588543625005,0.367080201625473,-0.892584492599385,-0.173277091313165
"doctorate degree",-3.17387165214964,0.346504778245108,0.0357027056401244,0.716881219827498,-0.315549160417058,1.1782794642646,0.456204581728091,-0.83323855376056,-0.84972505300705,-0.186360390736,-0.125410136238477,-0.501999000667362,-0.411377272092547,0.602764916436939,-0.966246405839625,-0.657660261067391,0.0998310286616403,0.322337204897196,-0.0961012039771746,-0.658702404340203,0.972496402423682,-1.33469358240953,-0.363362324532318,-0.891784962447965,-0.366107934776506,-0.0924380617239494,0.570471414316441,-0.371475297499579,-0.404381782336707,-0.203875092826642,1.33938644932383,0.903298883562947,0.816430038317324,-0.669611785260088,-0.369632016918501,0.574807637755883,0.707221234669735,1.68358270074296,-0.190350612661217,0.0319341744026717,-0.818497765989803,-0.771941790554626,-1.48144670963,0.908393961745968,0.368084685489467,0.976132936324869,-2.16961785253713,0.791820225009924,-0.293740836811881,0.0300837561630484,-0.244417572649509,-0.0229203834079545,0.0437464951345045,1.11149208786505,0.0390895538890548
"masters degree",0.425582488508843,0.297319509885599,0.123093555717473,0.301031771810615,0.432716008636004,-0.223238946564368,-0.00270096202597088,-0.190243748685707,-0.262816656418875,-0.389697620535749,0.0691930969496723,-0.161408126664463,0.0638164793257287,-0.343333762828368,-0.0690531972612609,0.152419586848871,-0.109836874321045,-0.237139415133012,0.254997704792833,0.142013227791093,0.292119809807234,-0.254217939662273,0.354666092880273,-0.0857078865474109,-0.149235539953011,0.140439059066505,-0.274882737301963,-0.536296028864512,0.557193285567167,-0.302743520630908,0.30225242357959,0.31095783831942,0.268847730814113,-0.187613762215041,0.0552537775277757,-0.05843949070596,-0.158673424899917,0.349966783829268,0.0353196128519727,0.0303730322596372,0.186606934703174,0.145851036593554,-0.395585552597904,0.246354095659351,0.175099442084556,0.426633185485235,-0.676818951920433,-0.38110527775639,-0.142640038274992,0.356035712463093,-0.704176645369159,-0.194298007759951,-0.110197499973422,-0.0333688808548491,0.121058177954393
"primary school",-6.88405146443406,0.228296047806714,0.228215973368973,-0.349942428345251,-0.142402759779882,-0.248371059181588,-0.419456623318302,-0.237302450573119,-0.235700993738667,-0.247932362219687,0.300640789399151,0.127606678147169,0.130488887262321,-0.00777766461210775,-0.0912731007813296,-0.698290807051523,-0.234365471486548,0.423561601736056,0.249947212957171,0.193197790283113,0.0223642537231431,-0.395504244747539,0.116269490378955,0.351053339357983,0.218410825184128,0.187345925281961,-0.0109232941437898,0.19520187410322,0.453249766318483,0.672085684897627,-0.750614707312978,0.0105735549864021,0.535273755931654,0.0603207518513016,0.506750822681535,-0.635641747288609,0.133670990131285,-0.132380794825189,0.356211381807203,0.140410784086579,0.020265679238752,0.356534996261799,-0.102780189378105,0.0390472749898608,0.467120191167722,0.349628670013537,-0.886423566714826,0.0955016242508526,0.293454790543227,0.222153643444599,-0.571336396841257,0.0878467656198589,0.386677559677721,0.115890600343348,0.466357742097351
"secondary school",-1.88812529994269,-0.0330378761259679,0.143159337683822,-0.235077211499374,0.0537345579141346,-0.261923331502468,0.0442046975717911,-0.0316232049790143,-0.175288006826168,-0.1386647490423,0.15144341853112,-0.073386890780129,0.269925482899941,0.234619319839874,0.0428016075005991,0.10916474640391,0.0730726250300875,0.162948093370758,0.0738091571025497,0.126365084702044,-0.184735243376121,0.0894604922177084,0.0172855263573709,0.419399213504215,-0.000703646754878343,0.491928419778251,-0.125343075663468,-0.107082809111748,0.0755789358543457,-0.114297775479562,-0.470079921276964,-0.0929298829295897,0.200104009708376,-0.294407990207863,0.103232964514025,0.0289502714828792,0.23808876911625,-0.30198347300415,0.134635801525797,-0.00581159880752394,-0.149655584490158,0.0788030866469112,-0.140352285667194,0.0760989419297907,0.0131065190578824,0.0432778077977865,-0.131533339345488,-0.161301261805945,-0.0429252581552988,0.566955280196899,0.0165587014662349,0.152047431925239,-0.124386206591737,0.247149868679207,0.277499227765102
